Sl. No.,State/UT,State / UT - wise Total Number of Persons Killed in Road Accidents during - 2021,State / UT - wise Total Number of Persons Killed in Road Accidents during - 2022,State / UT - wise Total Number of Persons Killed in Road Accidents during - 2023,State / UT - wise Total Number of Persons Killed in Road Accidents during - 2024 - Number,State / UT - wise Total Number of Persons Killed in Road Accidents during - 2024 - Rank,Share of States / UTs in Total Number of Persons Killed in Road Accidents - 2021,Share of States / UTs in Total Number of Persons Killed in Road Accidents - 2022,Share of States / UTs in Total Number of Persons Killed in Road Accidents - 2023,Share of States / UTs in Total Number of Persons Killed in Road Accidents - 2024,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2021,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2022,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2023,Total Number of Persons Killed in Road Accidents Per Lakh Population - 2024,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles - 2022","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads - 2022 (P)"
1,Andhra Pradesh,8186,8293,8137,8346,8,5.3,4.9,4.7,4.7,15.5,15.7,15.3,15.6,5.6,428.7
2,Arunachal Pradesh,157,148,145,168,27,0.1,0.1,0.1,0.1,10.2,9.6,9.3,10.7,4,27.9
3,Assam,3036,2994,3296,3351,18,2,1.8,1.9,1.9,8.7,8.5,9.2,9.3,6.6,59.7
4,Bihar,7660,8898,8873,9347,7,5,5.3,5.1,5.3,6.2,7.1,7,7.3,7.5,294.5
5,Chhattisgarh,5371,5834,6166,6945,11,3.5,3.5,3.6,3.9,18.2,19.6,20.4,22.8,7.5,514.9
6,Goa,226,271,290,286,23,0.1,0.2,0.2,0.2,14.5,17.3,18.4,18.1,2.4,138.1
7,Gujarat,7452,7618,7854,7717,10,4.8,4.5,4.5,4.4,10.7,10.8,11,10.7,2.6,284.6
8,Haryana,4706,4915,4968,4689,15,3.1,2.9,2.9,2.6,16,16.5,16.4,15.3,5.7,796.9
9,Himachal Pradesh,1052,1032,889,869,21,0.7,0.6,0.5,0.5,14.2,13.9,11.9,11.6,6,152.1
10,Jharkhand,3513,3898,4173,4114,16,2.3,2.3,2.4,2.3,9.1,10,10.6,10.3,6.2,456.1
11,Karnataka,10038,11702,12321,12390,5,6.5,6.9,7.1,7,15,17.4,18.2,18.2,4.1,299.5
12,Kerala,3429,4317,4080,3880,17,2.2,2.6,2.4,2.2,9.7,12.1,11.4,10.8,2.8,166
13,Madhya Pradesh,12057,13427,13798,14791,4,7.8,8,8,8.3,14.3,15.7,15.9,16.9,7.7,357.2
14,Maharashtra,13528,15224,15366,15715,3,8.8,9,8.9,8.9,10.9,12.1,12.2,12.3,3.7,243.6
15,Manipur,110,127,73,72,31,0.1,0.1,0,0,3.5,4,2.3,2.2,3.5,38.7
16,Meghalaya,187,162,168,197,26,0.1,0.1,0.1,0.1,5.7,4.9,5,5.8,3.7,29.7
17,Mizoram,56,113,96,110,28,0,0.1,0.1,0.1,4.6,9.2,7.8,8.8,3.6,56.8
18,Nagaland,55,73,86,62,33,0,0,0,0,2.5,3.3,3.9,2.8,1.3,19.2
19,Odisha,5081,5467,5739,6142,13,3.3,3.2,3.3,3.5,11.1,11.9,12.4,13.2,5.4,176.3
20,Punjab,4589,4756,4829,4759,14,3,2.8,2.8,2.7,15.1,15.6,15.7,15.4,3.9,312.7
21,Rajasthan,10043,11104,11762,11790,6,6.5,6.6,6.8,6.7,12.7,13.9,14.5,14.4,6.5,387.9
22,Sikkim,56,92,57,67,32,0,0.1,0,0,8.3,13.5,8.3,9.6,10.6,72.8
23,Tamil Nadu,15384,17884,18347,18449,2,10,10.6,10.6,10.4,20.1,23.3,23.9,23.9,5.1,632.1
24,Telangana,7557,7559,7660,7949,9,4.9,4.5,4.4,4.5,20,19.9,20.1,20.8,5.5,529.7
25,Tripura,194,241,261,226,24,0.1,0.1,0.2,0.1,4.8,5.9,6.3,5.4,3.7,84.3
26,Uttarakhand,820,1042,1054,1090,20,0.5,0.6,0.6,0.6,7.2,9,9.1,9.3,3.4,157.9
27,Uttar Pradesh,21227,22595,23652,24118,1,13.8,13.4,13.7,13.6,9.2,9.7,10,10.1,5.7,447.9
28,West Bengal,5800,6002,6027,6676,12,3.8,3.6,3.5,3.8,5.9,6.1,6.1,6.7,4.7,209.6
29,Andaman and Nicobar Islands,20,19,24,29,35,0,0,0,0,5,4.7,6,7.2,1.2,99.5
30,Chandigarh,96,83,67,75,30,0.1,0,0,0,7.9,6.8,5.4,6,0.7,277.3
31,Dadra and Nagar Haveli and Daman and Diu,76,90,74,95,29,0,0.1,0,0.1,7.1,7.7,5.9,7,2.9,617.3
32,Delhi,1239,1461,1457,1551,19,0.8,0.9,0.8,0.9,6,7,6.8,7.1,1.1,818.7
33,Jammu and Kashmir,774,805,893,831,22,0.5,0.5,0.5,0.5,5.8,6,6.6,6.1,3.6,65.9
34,Ladakh,56,62,59,61,34,NA,NA,0,0,NA,20.7,19.7,20.2,NA,101.6
35,Lakshadweep,1,2,0,0,36,0,0,0,0,1.5,2.9,0,0,0.8,89.8
36,Puducherry,140,181,149,218,25,0.1,0.1,0.1,0.1,8.9,11.3,9.1,13,1.4,323.1
Total,Total,153972,168491,172890,177175,NA,100,100,100,100,11.3,12.2,12.5,12.6,4.8,296
