Actual_2024_Fatalities,RF_Predicted_Fatalities,PSO_RF_Predicted_Fatalities,ANN_Predicted_Fatalities,PSO_ANN_Predicted_Fatalities,Actual_Risk_Level,Predicted_Risk_Level
1090,732,1090,957,1090,Medium,Medium
75,277,75,1394,0,Medium,Medium
226,228,226,1901,226,Low,Low
0,126,0,2709,0,Low,Low
4759,5149,4759,4532,4759,Medium,Medium
3880,3893,3880,1297,3880,Medium,Medium
1551,931,1551,2873,1551,High,High
72,180,72,2782,0,Low,Low
7949,8383,7949,13351,7949,High,High
4114,3962,4114,3228,4114,High,High
